Year,Rainfall 
2017,4.79
2016,19
2015,9.65
2014,8.52
2013,6.08
2012,5.85
2011,8.69
2010,20.2
2009,16.36
2008,9.08
2007,13.53
2006,3.21
2005,13.19
2004,37.25
2003,9.24
2002,16.49
2001,4.42
2000,17.94
1999,11.57
1998,9.09
1997,31.01
1996,12.4
1995,12.46
1994,24.35
1993,8.11
1992,27.36
1991,21
1990,11.47
1989,7.35
1988,8.08
1987,12.48
1986,7.66
1985,17.86
1984,12.82
1983,10.43
1982,31.25
1981,10.71
1980,8.98
1979,26.98
1978,19.67
1977,33.44
1976,12.31
1975,7.22
1974,14.35
1973,14.92
1972,21.26
1971,7.17
1970,12.32
1969,7.77
1968,27.47
1967,16.58
1966,22
1965,20.44
1964,13.69
1963,7.93
